timestamp, subcarrier01_mag, subcarrier01_ang, subcarrier02_mag, subcarrier02_ang, subcarrier03_mag, subcarrier03_ang, subcarrier04_mag, subcarrier04_ang, subcarrier05_mag, subcarrier05_ang, subcarrier06_mag, subcarrier06_ang, subcarrier07_mag, subcarrier07_ang, subcarrier08_mag, subcarrier08_ang, subcarrier09_mag, subcarrier09_ang, subcarrier10_mag, subcarrier10_ang, subcarrier11_mag, subcarrier11_ang, subcarrier12_mag, subcarrier12_ang, subcarrier13_mag, subcarrier13_ang, subcarrier14_mag, subcarrier14_ang, subcarrier15_mag, subcarrier15_ang, subcarrier16_mag, subcarrier16_ang, subcarrier17_mag, subcarrier17_ang, subcarrier18_mag, subcarrier18_ang, subcarrier19_mag, subcarrier19_ang, subcarrier20_mag, subcarrier20_ang, subcarrier21_mag, subcarrier21_ang, subcarrier22_mag, subcarrier22_ang, subcarrier23_mag, subcarrier23_ang, subcarrier24_mag, subcarrier24_ang, subcarrier25_mag, subcarrier25_ang, subcarrier26_mag, subcarrier26_ang, subcarrier27_mag, subcarrier27_ang, subcarrier28_mag, subcarrier28_ang, subcarrier29_mag, subcarrier29_ang, subcarrier30_mag, subcarrier30_ang, subcarrier31_mag, subcarrier31_ang, subcarrier32_mag, subcarrier32_ang, subcarrier33_mag, subcarrier33_ang, subcarrier34_mag, subcarrier34_ang, subcarrier35_mag, subcarrier35_ang, subcarrier36_mag, subcarrier36_ang, subcarrier37_mag, subcarrier37_ang, subcarrier38_mag, subcarrier38_ang, subcarrier39_mag, subcarrier39_ang, subcarrier40_mag, subcarrier40_ang, subcarrier41_mag, subcarrier41_ang, subcarrier42_mag, subcarrier42_ang, subcarrier43_mag, subcarrier43_ang, subcarrier44_mag, subcarrier44_ang, subcarrier45_mag, subcarrier45_ang, subcarrier46_mag, subcarrier46_ang, subcarrier47_mag, subcarrier47_ang, subcarrier48_mag, subcarrier48_ang, subcarrier49_mag, subcarrier49_ang, subcarrier50_mag, subcarrier50_ang, subcarrier51_mag, subcarrier51_ang, subcarrier52_mag, subcarrier52_ang, subcarrier53_mag, subcarrier53_ang, subcarrier54_mag, subcarrier54_ang, subcarrier55_mag, subcarrier55_ang, subcarrier56_mag, subcarrier56_ang, subcarrier57_mag, subcarrier57_ang, subcarrier58_mag, subcarrier58_ang, subcarrier59_mag, subcarrier59_ang, subcarrier60_mag, subcarrier60_ang, subcarrier61_mag, subcarrier61_ang, subcarrier62_mag, subcarrier62_ang, subcarrier63_mag, subcarrier63_ang, subcarrier64_mag, subcarrier64_ang
230.011, 97, 2, 0, 0, 0, 0, 19, -1, 18, -1, 17, -1, 17, -1, 15, -1, 15, -1, 14, -1, 12, -1, 11, -1, 11, -1, 10, -1, 9, -1, 9, -1, 0, 0, 7, -1, 7, -1, 7, -1, 7, -1, 6, -1, 6, -1, 6, -1, 7, -1, 7, -1, 7, -1, 8, -1, 8, -1, 8, -1, 0, 0, 0, 0, 1, -2, 21, 0, 22, 0, 19, 0, 21, 0, 22, 0, 24, 0, 22, 0, 24, 0, 24, 0, 21, 0, 23, 0, 25, 1, 23, 1, 25, 1, 25, 1, 26, 1, 27, 1, 28, 1, 28, 1, 29, 1, 29, 1, 30, 1, 28, 2, 30, 2, 29, 2, 28, 2, 30, 2, 29, 2, 28, 2, 1, -2, 1, -2
230.02, 97, 2, 0, 0, 0, 0, 18, 0, 16, 0, 16, 0, 15, 0, 14, 0, 14, 0, 13, 0, 12, 0, 11, 0, 10, 0, 10, 0, 9, 0, 9, 0, 0, 0, 7, 0, 7, 0, 7, 0, 6, 0, 6, 0, 6, 0, 7, 0, 7, 0, 7, 0, 7, 0, 8, 1, 8, 1, 8, 1, 0, 0, 0, 0, 1, -2, 42, 2, 47, 2, 43, 2, 43, 2, 47, 2, 48, 2, 47, 2, 52, 3, 50, 3, 46, 3, 56, -3, 54, -2, 53, -2, 52, -2, 52, -2, 57, -2, 54, -2, 56, -2, 59, -2, 57, -2, 57, -2, 55, -2, 58, -2, 57, -2, 58, -2, 59, -2, 59, -2, 58, -2, 58, -2, 1, -2, 1, -2
230.028, 97, 2, 0, 0, 0, 0, 17, 1, 16, 1, 15, 1, 14, 1, 13, 1, 13, 1, 12, 1, 11, 1, 10, 1, 10, 1, 9, 1, 8, 1, 8, 1, 0, 0, 7, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 7, 1, 7, 1, 8, 1, 8, 1, 0, 0, 0, 0, 1, -2, 19, 3, 22, -3, 22, -3, 25, -3, 23, -2, 24, -2, 23, -2, 26, -2, 24, -2, 25, -2, 26, -2, 25, -2, 26, -2, 25, -2, 29, -2, 27, -2, 27, -2, 28, -2, 28, -1, 30, -1, 28, -1, 29, -1, 30, -1, 30, -1, 30, -1, 31, -1, 30, -1, 30, -1, 29, -1, 1, -2, 1, -2
230.053, 97, 2, 0, 0, 0, 0, 16, 3, 16, 3, 15, 3, 14, 2, 13, 2, 13, 3, 12, 3, 11, 3, 10, 3, 10, 3, 10, 3, 9, 3, 8, 3, 0, 0, 8, 3, 8, 3, 8, 3, 8, 3, 8, -3, 8, 3, 8, -3, 8, -3, 8, -3, 9, -3, 9, -3, 10, -2, 10, -2, 0, 0, 0, 0, 1, -2, 24, -1, 24, -1, 25, -1, 25, -1, 26, -1, 26, -1, 26, -1, 26, 0, 27, 0, 25, 0, 28, 0, 27, 0, 26, 0, 28, 0, 28, 0, 31, 0, 28, 0, 30, 0, 29, 0, 29, 0, 34, 0, 30, 0, 30, 0, 31, 0, 29, 0, 30, 0, 30, 0, 30, 0, 30, 0, 1, -2, 1, -2
230.058, 97, 2, 0, 0, 0, 0, 16, -2, 15, -2, 14, -2, 14, -2, 14, -2, 13, -2, 12, -3, 12, -3, 12, -3, 11, -3, 10, -3, 10, 3, 10, -3, 0, 0, 9, -3, 8, -3, 9, -3, 9, -3, 8, -2, 9, -2, 9, -2, 10, -2, 10, -2, 10, -2, 10, -2, 11, -2, 11, -2, 0, 0, 0, 0, 1, -2, 25, -1, 25, -1, 25, -1, 27, -1, 28, -1, 28, -1, 28, 0, 28, 0, 29, 0, 28, 0, 29, 0, 28, 0, 29, 0, 29, 0, 28, 0, 28, 0, 29, 0, 30, 0, 29, 0, 31, 0, 30, 0, 30, 0, 30, 0, 31, 0, 31, 0, 30, 0, 30, 0, 31, 0, 29, 0, 0, 0, 1, -2
230.07, 97, 2, 0, 0, 0, 0, 14, -1, 13, -1, 13, -1, 12, -1, 11, -1, 11, -1, 10, -1, 10, -1, 9, -1, 8, -1, 8, -1, 7, -1, 7, -1, 0, 0, 7, -1, 6, -1, 6, -1, 7, -1, 6, -1, 7, -1, 7, -1, 7, -1, 7, -1, 7, -1, 8, -1, 9, -1, 10, 0, 0, 0, 0, 0, 1, -2, 22, 0, 22, 0, 25, 0, 24, 0, 24, 0, 25, 1, 25, 1, 25, 1, 27, 1, 26, 1, 28, 1, 27, 1, 26, 1, 29, 1, 28, 1, 30, 1, 29, 2, 29, 2, 30, 2, 31, 2, 31, 2, 32, 2, 32, 2, 32, 2, 32, 2, 33, 2, 31, 2, 32, 2, 32, 2, 1, -2, 1, -2
230.088, 97, 2, 0, 0, 0, 0, 14, 2, 13, 2, 12, 2, 11, 2, 10, 2, 10, 2, 8, 2, 8, 2, 8, 2, 6, 2, 5, 2, 5, 2, 5, 2, 0, 0, 5, 2, 5, 2, 6, 2, 5, 2, 5, 2, 6, 2, 6, 2, 7, 2, 7, 2, 8, 2, 9, 2, 10, 2, 11, 2, 0, 0, 0, 0, 1, -2, 28, -2, 28, -2, 28, -1, 29, -1, 31, -1, 31, -1, 32, -1, 33, -1, 32, -1, 31, -1, 32, -1, 33, -1, 32, -1, 31, -1, 32, 0, 36, 0, 32, 0, 35, 0, 37, 0, 36, 0, 36, 0, 34, 0, 36, 0, 37, 0, 39, 0, 36, 0, 37, 0, 36, 0, 36, 0, 1, -2, 0, 0
230.098, 97, 2, 0, 0, 0, 0, 13, -3, 12, -3, 11, 3, 11, 3, 10, 3, 10, 3, 9, 3, 8, 2, 7, 2, 6, 2, 6, 2, 6, 2, 6, 2, 0, 0, 5, 2, 5, 2, 5, 2, 6, 2, 6, 2, 6, 2, 7, 2, 8, 2, 9, 2, 9, 2, 10, 2, 11, 2, 12, 2, 0, 0, 0, 0, 1, -2, 29, -1, 30, -1, 29, -1, 30, -1, 31, -1, 31, -1, 32, -1, 33, -1, 32, -1, 32, -1, 33, 0, 34, 0, 33, 0, 33, 0, 33, 0, 34, 0, 34, 0, 35, 0, 35, 0, 36, 0, 36, 0, 36, 0, 37, 0, 38, 0, 37, 0, 37, 0, 35, 0, 36, 0, 37, 0, 0, 0, 1, -2
230.113, 97, 2, 0, 0, 0, 0, 13, 2, 15, 2, 12, 2, 12, 2, 9, 2, 8, 2, 8, 2, 8, 2, 7, 2, 5, 2, 5, 2, 5, 2, 4, 2, 0, 0, 3, 1, 3, 1, 4, 1, 5, 1, 4, 1, 5, 1, 6, 1, 8, 1, 8, 1, 8, 1, 9, 1, 10, 1, 11, 1, 0, 0, 0, 0, 1, -2, 29, -2, 32, -2, 32, -2, 33, -2, 35, -2, 36, -2, 36, -2, 37, -2, 38, -2, 37, -2, 39, -1, 40, -1, 38, -1, 39, -1, 41, -1, 38, -1, 39, -1, 41, -1, 42, -1, 42, -1, 42, -1, 42, -1, 43, 0, 46, 0, 45, 0, 44, 0, 45, 0, 44, 0, 44, 0, 0, 0, 1, -2
230.122, 97, 2, 0, 0, 0, 0, 15, -1, 17, -2, 15, -1, 12, -2, 12, -2, 12, -1, 10, -2, 8, -1, 8, -2, 9, -1, 7, -2, 4, -2, 5, -2, 0, 0, 4, -2, 4, -2, 4, -2, 5, -2, 5, -2, 5, -2, 6, -2, 8, -2, 8, -2, 9, -2, 10, -2, 10, -2, 11, -2, 0, 0, 0, 0, 1, -2, 27, 0, 28, 0, 30, 0, 30, 0, 32, 0, 32, 0, 33, 0, 34, 0, 34, 0, 34, 0, 35, 0, 37, 0, 35, 0, 36, 0, 36, 0, 37, 0, 37, 0, 38, 0, 39, 0, 40, 0, 39, 0, 40, 1, 39, 1, 41, 1, 41, 1, 40, 1, 42, 1, 40, 1, 39, 1, 0, 0, 1, 3
